,game_id,season,date,away_team,away_score,home_team,home_score,result,away_elo_i,away_elo_n,home_elo_i,home_elo_n,elo_pred,away_back_to_back,home_back_to_back,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp,elo_diff,favorite_is_home,is_upset,away_streak,away_last_5_win_pct,away_last_10_win_pct,away_last_15_win_pct,home_streak,home_last_5_win_pct,home_last_10_win_pct,home_last_15_win_pct,away_vs_home_win_pct,a_eFGp_10,h_eFGp_10,a_TOVp_10,h_TOVp_10,a_ORBp_10,h_ORBp_10,a_FTr_10,h_FTr_10,eFGp_diff,eFGp_roll_diff,FTr_diff,FTr_roll_diff,ORBp_diff,ORBp_roll_diff,TOVp_diff,TOVp_roll_diff,elo_diff_back_to_back,streak_vs_opp_streak,momentum_factor
17,181910190025,1819,2018-10-19,GSW,124,UTA,123,0,1563.7767921899565,1570.7725647691643,1645.261641487376,1638.2658689081677,1,False,False,0.5325581395348837,0.1651162790697674,0.2043999999999999,0.1391243458391685,0.5655048076923076,0.2067307692307692,0.2405,0.1362197187246889,81.48484929741949,1,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.5,0.5325581395348837,0.5655048076923076,0.1391243458391685,0.1362197187246889,0.2043999999999999,0.2405,0.1651162790697674,0.2067307692307692,0.032946668157423864,0.032946668157423864,0.0416144901610018,0.0416144901610018,0.036100000000000104,0.036100000000000104,-0.0029046271144795854,-0.0029046271144795854,0.0,0,0.0
21,181910190020,1819,2018-10-19,CLE,123,MIN,131,1,1531.42528091401,1525.4919115624234,1535.874836809549,1541.8082061611356,1,False,False,0.5186480186480187,0.2307692307692307,0.2162,0.1131428154312201,0.4860491071428572,0.2098214285714286,0.2351,0.1000036037334678,4.449555895538879,1,0,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.5,0.5319767441860465,0.4860491071428572,0.1094514550605202,0.1000036037334678,0.2138,0.2351,0.2209302325581395,0.2098214285714286,-0.032598911505161476,-0.04592763704318925,-0.020947802197802096,-0.011108803986710908,0.0189,0.021300000000000013,-0.013139211697752298,-0.009447851327052406,0.0,0,0.0
22,181910190019,1819,2018-10-19,ATL,117,MEM,131,1,1378.6162695026208,1369.3845012851052,1361.6517824947443,1370.88355071226,1,False,False,0.5073696145124716,0.1383219954648526,0.1729,0.1421221170798402,0.5122520420070011,0.1680280046674445,0.2158,0.1320211233797407,-16.964487007876414,0,1,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.5,0.5068493150684932,0.5122520420070011,0.1325896122896854,0.1320211233797407,0.1688,0.2158,0.1324200913242009,0.1680280046674445,0.004882427494529495,0.005402726938507962,0.029706009202591893,0.03560791334324359,0.042899999999999994,0.046999999999999986,-0.010100993700099509,-0.0005684889099447088,-0.0,0,0.0
23,181910190017,1819,2018-10-19,CHO,120,ORL,88,0,1496.5991310431198,1518.4463916909583,1383.752206332752,1361.9049456849132,0,False,False,0.5442890442890442,0.2377622377622377,0.2127,0.125854009349155,0.4641255605381165,0.1569506726457399,0.2036,0.1051919066261754,-112.84692471036783,0,0,-1,0.0,0.0,0.0,1,1.0,1.0,1.0,0.5,0.5442890442890442,0.4693877551020408,0.125854009349155,0.1120829046009113,0.2127,0.2078,0.2377622377622377,0.1598639455782312,-0.08016348375092774,-0.07490128918700345,-0.08081156511649781,-0.07789829218400651,-0.009099999999999997,-0.004899999999999988,-0.020662102722979594,-0.013771104748243695,-0.0,2,1.2
20,181910190018,1819,2018-10-19,NYK,105,BRK,107,1,1419.0661624385327,1415.982946339175,1428.8456065198525,1431.9288226192102,1,False,False,0.5174102285092491,0.1414581066376496,0.2105,0.1151621196971861,0.5470035252643949,0.1750881316098707,0.1455999999999999,0.130608766534514,9.779444081319753,1,0,1,1.0,1.0,1.0,-1,0.0,0.0,0.0,0.5,0.5174102285092491,0.5470035252643949,0.1151621196971861,0.130608766534514,0.2105,0.1455999999999999,0.1414581066376496,0.1750881316098707,0.02959329675514577,0.02959329675514577,0.03363002497222109,0.03363002497222109,-0.0649000000000001,-0.0649000000000001,0.01544664683732791,0.01544664683732791,0.0,-2,-1.2
31,181910200031,1819,2018-10-20,CHO,113,MIA,112,0,1518.4463916909583,1523.8512347875012,1505.136614392722,1499.7317712961794,1,True,False,0.5565268065268065,0.2342657342657343,0.2183,0.1278772378516624,0.4841530054644809,0.1759562841530055,0.2364,0.1236847606438575,-13.309777298236213,0,0,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5442890442890442,0.4841530054644809,0.125854009349155,0.1236847606438575,0.2127,0.2364,0.2377622377622377,0.1759562841530055,-0.0723738010623256,-0.06013603882456331,-0.05830945011272881,-0.06180595360923222,0.018100000000000005,0.0237,-0.004192477207804912,-0.0021692487052974996,-13.309777298236213,0,0.0
32,181910200032,1819,2018-10-20,MIN,136,DAL,140,1,1541.8082061611356,1533.970675402901,1379.4875682035215,1387.325098961756,0,False,False,0.5011273957158963,0.2175873731679819,0.2354,0.1001237894123643,0.4937570942111237,0.1362088535754824,0.1748,0.100594163658243,-162.32063795761405,0,1,1,0.5,0.5,0.5,-1,0.0,0.0,0.0,0.5,0.4926136363636363,0.4937570942111237,0.1037155646129771,0.100594163658243,0.2211,0.1748,0.2181818181818181,0.1362088535754824,-0.007370301504772581,0.0011434578474873724,-0.0813785195924995,-0.08197296460633569,-0.06059999999999999,-0.04629999999999998,0.0004703742458787019,-0.0031214009547340937,-0.0,-2,-0.7
33,181910200033,1819,2018-10-20,PHO,91,DEN,119,1,1348.624502017915,1344.3171420330186,1577.621623237467,1581.9289832223633,1,False,False,0.5275821596244131,0.1737089201877934,0.1956,0.1302227640474343,0.5153409090909091,0.2306818181818181,0.2582,0.1114042280132615,228.99712121955213,1,0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.5,0.5275821596244131,0.5153409090909091,0.1302227640474343,0.1114042280132615,0.1956,0.2582,0.1737089201877934,0.2306818181818181,-0.012241250533504,-0.012241250533504,0.05697289799402469,0.05697289799402469,0.06259999999999999,0.06259999999999999,-0.0188185360341728,-0.0188185360341728,0.0,0,0.0
34,181910200034,1819,2018-10-20,SAS,108,POR,121,1,1564.9958601576022,1557.7682667766703,1592.0341603006052,1599.2617536815371,1,False,False,0.4948688711516533,0.2166476624857468,0.2575,0.0999527496092756,0.4917218543046358,0.173289183222958,0.231,0.1175506714636839,27.03830014300297,1,0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.5,0.4948688711516533,0.4927455357142857,0.0999527496092756,0.116687169838628,0.2575,0.245,0.2166476624857468,0.1618303571428571,-0.003147016847017514,-0.0021233354373675906,-0.043358479262788796,-0.0548173053428897,-0.026499999999999996,-0.012500000000000011,0.01759792185440831,0.016734420229352398,0.0,0,0.0
25,181910200035,1819,2018-10-20,HOU,124,LAL,115,0,1646.1880250763934,1653.9183230683925,1487.1457399505905,1479.4154419585916,0,False,False,0.5257177033492824,0.1937799043062201,0.173,0.1175310888686684,0.5170789163722025,0.221436984687868,0.2135,0.1406810035842293,-159.0422851258029,0,0,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.5,0.5257177033492824,0.5170789163722025,0.1175310888686684,0.1406810035842293,0.173,0.2135,0.1937799043062201,0.221436984687868,-0.00863878697707987,-0.00863878697707987,0.02765708038164788,0.02765708038164788,0.04050000000000001,0.04050000000000001,0.023149914715560896,0.023149914715560896,-0.0,0,0.0
