,game_id,season,date,away_team,away_score,home_team,home_score,result,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp
68,131411060069,1314,2013-11-06,DAL,93,OKC,107,1,0.5213675213675214,0.2592592592592592,0.2665,0.1250109658741995,0.4247967479674797,0.3089430894308942,0.2523333333333333,0.146636341872157
69,131411070070,1314,2013-11-07,LAC,97,MIA,102,1,0.5304449648711944,0.2646370023419204,0.2782,0.1268409555351983,0.5742705570291776,0.2413793103448275,0.1899999999999999,0.1554016838460933
70,131411070071,1314,2013-11-07,ATL,107,DEN,109,1,0.5231481481481481,0.2469135802469135,0.179,0.1276338995637241,0.4406130268199234,0.1915708812260536,0.2646666666666667,0.1308589103021651
71,131411070072,1314,2013-11-07,LAL,99,HOU,98,0,0.4750566893424036,0.1927437641723356,0.2075999999999999,0.1306312667702301,0.5549597855227884,0.3565683646112601,0.3223999999999999,0.1696213613482162
72,131411080073,1314,2013-11-08,NYK,101,CHO,91,0,0.4771341463414634,0.1676829268292683,0.249,0.1578401809272521,0.4457364341085271,0.2739018087855296,0.2694,0.1242164806604494
73,131411080074,1314,2013-11-08,TOR,84,IND,91,1,0.4739454094292805,0.2183622828784119,0.3276,0.1377046706406096,0.5079575596816975,0.2493368700265252,0.2377999999999999,0.1690876950272846
74,131411080075,1314,2013-11-08,BOS,91,ORL,89,0,0.4853333333333333,0.2213333333333333,0.2423999999999999,0.1799396331553285,0.5184331797235023,0.1543778801843318,0.2354,0.1486496167347231
75,131411080076,1314,2013-11-08,CLE,79,PHI,94,1,0.4453681710213776,0.1852731591448931,0.2566,0.1400250571154838,0.5127610208816705,0.185614849187935,0.245,0.1657000828500414
76,131411080077,1314,2013-11-08,BRK,108,WAS,112,1,0.4810725552050473,0.252365930599369,0.2314999999999999,0.1410437235543018,0.5042613636363636,0.1647727272727272,0.299,0.1417057833672836
77,131411080078,1314,2013-11-08,OKC,119,DET,110,0,0.4615384615384615,0.283076923076923,0.26075,0.1613336918526485,0.4833333333333333,0.2424242424242424,0.30625,0.159701889805696
78,131411080079,1314,2013-11-08,UTA,73,CHI,97,1,0.4398034398034397,0.226044226044226,0.3261999999999999,0.1725732991744947,0.44,0.2307692307692307,0.2895,0.1633235185866764
79,131411080080,1314,2013-11-08,DAL,108,MIN,116,1,0.5126146788990825,0.2362385321100917,0.262,0.1372949376892206,0.4443181818181818,0.2795454545454545,0.2328,0.1314800901577761
80,131411080081,1314,2013-11-08,LAL,85,NOP,96,1,0.475609756097561,0.1801125703564728,0.2171666666666667,0.1422186103210077,0.4674698795180723,0.2265060240963855,0.284,0.1306945481702763
81,131411080082,1314,2013-11-08,GSW,74,SAS,76,1,0.5760869565217391,0.1859903381642512,0.2146,0.1780880467303034,0.5103448275862069,0.1241379310344827,0.1886,0.1287025292844885
82,131411080083,1314,2013-11-08,DEN,103,PHO,114,1,0.4726224783861671,0.1757925072046109,0.25675,0.1346136587992461,0.5097799511002444,0.1711491442542787,0.2424,0.1617701747861658
83,131411080084,1314,2013-11-08,SAC,91,POR,104,1,0.45565749235474,0.2446483180428134,0.26675,0.1291079812206572,0.5056818181818182,0.1818181818181818,0.2525,0.1135640955755428
84,131411090085,1314,2013-11-09,UTA,91,TOR,115,1,0.4217479674796748,0.2195121951219512,0.3243333333333333,0.1688688748000237,0.4669421487603305,0.2107438016528925,0.3298333333333332,0.1389854065323141
85,131411090086,1314,2013-11-09,ORL,94,ATL,104,1,0.5029013539651838,0.1663442940038684,0.2528333333333333,0.1527917878122589,0.5179425837320574,0.2224880382775119,0.1974,0.1212611156022635
86,131411090087,1314,2013-11-09,IND,96,BRK,91,0,0.5065934065934067,0.2351648351648351,0.2398333333333333,0.1660005157297576,0.4851851851851852,0.2469135802469135,0.2402,0.1480371372176328
87,131411090088,1314,2013-11-09,PHI,125,CLE,127,1,0.5135922330097088,0.1689320388349514,0.2581666666666666,0.1651274257657236,0.4344422700587084,0.172211350293542,0.2705,0.1365198183826236
88,131411090089,1314,2013-11-09,BOS,111,MIA,110,0,0.4617021276595744,0.2212765957446808,0.2556666666666666,0.1639654411301002,0.5736607142857143,0.25,0.1943333333333333,0.1557683478717124
89,131411090090,1314,2013-11-09,LAC,107,HOU,94,0,0.5330000000000001,0.26,0.2801666666666667,0.1334572936660268,0.5322222222222223,0.3688888888888889,0.3003333333333333,0.1653737446629382
90,131411090091,1314,2013-11-09,GSW,90,MEM,108,1,0.5597938144329897,0.1752577319587629,0.2058333333333333,0.181424563971216,0.4950248756218905,0.2114427860696517,0.2461999999999999,0.1622892105655872
91,131411090092,1314,2013-11-09,DAL,91,MIL,83,0,0.518060836501901,0.214828897338403,0.2738333333333334,0.1393534002229654,0.5,0.232484076433121,0.215,0.1388212372138334
92,131411090093,1314,2013-11-09,POR,96,SAC,85,0,0.5138888888888888,0.1851851851851851,0.2668,0.1228906823184152,0.4552058111380145,0.225181598062954,0.2498,0.1246223564954682
93,131411100094,1314,2013-11-10,SAS,120,NYK,89,0,0.4970817120622568,0.122568093385214,0.1938333333333333,0.1275510204081632,0.4892344497607656,0.1435406698564593,0.2549999999999999,0.1489329613151346
94,131411100095,1314,2013-11-10,WAS,105,OKC,106,1,0.5079545454545454,0.1772727272727272,0.269,0.1410735698666854,0.4668304668304668,0.3218673218673218,0.2875999999999999,0.1516124429223744
95,131411100096,1314,2013-11-10,NOP,94,PHO,101,1,0.4651394422310756,0.2211155378486055,0.2756666666666666,0.1218217030049353,0.5142276422764228,0.1930894308943089,0.2466666666666666,0.1633887124358661
96,131411100097,1314,2013-11-10,MIN,113,LAL,90,0,0.4546313799621928,0.2816635160680529,0.2575,0.1296591815798472,0.4690048939641109,0.1843393148450244,0.2197142857142857,0.1409656144590444
97,131411110098,1314,2013-11-11,ATL,103,CHO,94,0,0.5167322834645669,0.2066929133858267,0.1988333333333333,0.119309838472834,0.4438444924406047,0.2829373650107991,0.2721666666666666,0.1261013919039713
98,131411110099,1314,2013-11-11,MEM,79,IND,95,1,0.5062370062370062,0.2162162162162162,0.2468333333333333,0.1604161475205582,0.5065420560747663,0.22803738317757,0.243,0.1606025364124716
99,131411110100,1314,2013-11-11,SAS,109,PHI,85,0,0.5127118644067796,0.1508474576271186,0.2051428571428571,0.1275025771797515,0.5162866449511401,0.1742671009771987,0.2498571428571429,0.1624735365073113
100,131411110101,1314,2013-11-11,ORL,105,BOS,120,1,0.5041736227045075,0.1602671118530884,0.2481428571428571,0.1536412987811123,0.479427549194991,0.2021466905187835,0.2604285714285714,0.156638219725613
101,131411110102,1314,2013-11-11,CLE,81,CHI,96,1,0.4477977161500815,0.1794453507340946,0.2727142857142857,0.1363613192639037,0.459697732997481,0.234256926952141,0.2964,0.1692330580971509
102,131411110103,1314,2013-11-11,TOR,104,HOU,110,1,0.4779541446208113,0.2239858906525573,0.3315714285714286,0.1349673379042271,0.5265151515151515,0.346590909090909,0.2931428571428571,0.1655800476042636
103,131411110104,1314,2013-11-11,DEN,100,UTA,81,0,0.477751756440281,0.1967213114754098,0.2372,0.1433588990036556,0.4270650263620386,0.2249560632688927,0.3219999999999999,0.1648125257519571
104,131411110105,1314,2013-11-11,DET,103,POR,109,1,0.4845605700712588,0.2399049881235154,0.3078,0.1499858836815358,0.5107003891050583,0.1848249027237354,0.2943333333333333,0.1217482431266181
105,131411110106,1314,2013-11-11,MIN,107,LAC,109,1,0.4676898222940225,0.2649434571890145,0.2615714285714286,0.1363857769118363,0.532312925170068,0.2448979591836735,0.2857142857142856,0.1311053984575835
106,131411120107,1314,2013-11-12,MIL,95,MIA,118,1,0.489873417721519,0.210126582278481,0.2197999999999999,0.148465216720654,0.5789980732177264,0.2601156069364161,0.1844285714285714,0.1487589255355321
107,131411120108,1314,2013-11-12,WAS,95,DAL,105,1,0.5104166666666666,0.1723484848484848,0.2479999999999999,0.1355892236043153,0.5107615894039735,0.2185430463576158,0.2745714285714286,0.1446773947916138
108,131411120109,1314,2013-11-12,DET,95,GSW,113,1,0.4833984375,0.228515625,0.3176666666666666,0.1377859428706886,0.5497335701598579,0.1758436944937833,0.205,0.1783934099375622
109,131411120110,1314,2013-11-12,NOP,95,LAL,116,1,0.4652542372881356,0.2084745762711864,0.2817142857142857,0.1241655540720961,0.4645390070921986,0.1744680851063829,0.227375,0.1424751216518346
110,131411130111,1314,2013-11-13,MIL,91,ORL,94,1,0.489451476793249,0.2130801687763713,0.2141666666666666,0.152029189604404,0.5036549707602339,0.1695906432748538,0.25875,0.154334794667621
111,131411130112,1314,2013-11-13,HOU,117,PHI,123,1,0.5204248366013072,0.3464052287581699,0.293375,0.1676436628474997,0.5079022988505747,0.1709770114942528,0.246125,0.1603962988826815
112,131411130113,1314,2013-11-13,CHO,89,BOS,83,0,0.443014705882353,0.2830882352941177,0.265,0.1266615820440183,0.499223602484472,0.1956521739130435,0.260125,0.1526338208149936
113,131411130114,1314,2013-11-13,NYK,95,ATL,91,0,0.477,0.162,0.2418333333333333,0.1401133501259445,0.5179794520547946,0.2191780821917808,0.1942857142857142,0.1205170313079408
114,131411130115,1314,2013-11-13,TOR,103,MEM,87,0,0.4596182085168869,0.2158590308370044,0.3279999999999999,0.1284382814275972,0.4973021582733812,0.210431654676259,0.2348571428571428,0.1536495159360383
115,131411130116,1314,2013-11-13,CLE,95,MIN,124,1,0.4476744186046512,0.1802325581395348,0.27475,0.1410071293204584,0.4685314685314685,0.2517482517482518,0.266625,0.132320300495134
116,131411130117,1314,2013-11-13,WAS,79,SAS,92,1,0.5091210613598675,0.1840796019900497,0.25,0.1413508557457212,0.5198821796759941,0.1428571428571428,0.213875,0.1257294681406272
117,131411130118,1314,2013-11-13,LAL,99,DEN,111,1,0.4808673469387755,0.1785714285714285,0.2343333333333333,0.1461242742821277,0.4783037475345167,0.2110453648915187,0.2531666666666666,0.1415833232919628
118,131411130119,1314,2013-11-13,NOP,105,UTA,111,1,0.4599406528189911,0.2181008902077151,0.26775,0.1231813322177288,0.4264705882352941,0.2229102167182662,0.3052499999999999,0.1617754283631061
119,131411130120,1314,2013-11-13,PHO,89,POR,90,1,0.5166666666666666,0.1982456140350877,0.248,0.1598414795244385,0.5201342281879194,0.1828859060402684,0.3024285714285715,0.1249202636614926
120,131411130121,1314,2013-11-13,BRK,86,SAC,107,1,0.4896049896049895,0.2349272349272348,0.2308333333333333,0.1487910725356478,0.4592668024439919,0.2097759674134419,0.2406666666666666,0.1218417340002565
121,131411130122,1314,2013-11-13,OKC,103,LAC,111,1,0.468937875751503,0.2985971943887775,0.293,0.1501501501501501,0.5374251497005988,0.2410179640718563,0.271375,0.131174235570834
122,131411140123,1314,2013-11-14,HOU,109,NYK,106,0,0.521186440677966,0.3220338983050847,0.2908888888888888,0.1655758142434159,0.4787414965986394,0.1530612244897959,0.2315714285714286,0.1256967974642037
123,131411140124,1314,2013-11-14,OKC,115,GSW,116,1,0.4738675958188154,0.3066202090592334,0.2797142857142857,0.1567953062566385,0.5616113744075829,0.1895734597156398,0.2239999999999999,0.1834333179510844
